links,news_date
http://www.thehindu.com/business/uber-launches-bike-taxis-in-bengaluru/article8309849.ece,2016-03-03
http://www.thehindu.com/business/flipkart-launches-own-ad-platform-with-50-brands/article8309803.ece,2016-03-03
http://www.thehindu.com/business/postbudget-rally-adds-up-sensex-gains-364-pts/article8309670.ece,2016-03-03
http://www.thehindu.com/business/mallyas-sole-regret-kingfisher-not-flying-when-oil-is-cheap/article8309608.ece,2016-03-03
http://www.thehindu.com/business/oberoi-group-scdcl-ink-pact-with-maldives-government-to-open-resort/article8309450.ece,2016-03-03
http://www.thehindu.com/business/government-to-shortly-issue-3rd-tranche-of-gold-bond-scheme/article8309388.ece,2016-03-03
http://www.thehindu.com/business/up-against-excise-duty-bullion-traders-shut-shops-for-2nd-day/article8309332.ece,2016-03-03
http://www.thehindu.com/business/yes-bank-buys-over-5-stake-in-advisory-firm-iias/article8309164.ece,2016-03-03
http://www.thehindu.com/business/germany-takes-on-facebook-in-firstever-competition-probe/article8305508.ece,2016-03-03
http://www.thehindu.com/business/cbi-turns-heat-on-banks-for-not-reporting-frauds/article8305524.ece,2016-03-03
http://www.thehindu.com/business/Economy/Super-rich-want-tax-review-on-corporate-dividends/article14132877.ece,2016-03-03
http://www.thehindu.com/business/Economy/small-retailers-oppose-100-fdi-in-marketing-of-food-products/article8305505.ece,2016-03-03
http://www.thehindu.com/business/Industry/Maruti-follows-other-car-makers-hikes-prices-by-up-to-Rs-34494/article14134727.ece,2016-03-03
http://www.thehindu.com/business/Industry/airlines-protest-fuel-price-hike-warn-of-cci-action/article8305520.ece,2016-03-03
http://www.thehindu.com/business/Industry/maruti-alto-crosses-3million-milestone/article8305523.ece,2016-03-03
http://www.thehindu.com/business/Industry/sezs-may-not-see-investor-interest/article8305525.ece,2016-03-03
http://www.thehindu.com/business/Industry/idbi-bank-to-focus-on-retail/article8305526.ece,2016-03-03
http://www.thehindu.com/business/Industry/government-cancels-irb-contract/article8305506.ece,2016-03-03
http://www.thehindu.com/business/markets/sensex-climbs-227-points-in-early-trade-nifty-tops-7400/article8308731.ece,2016-03-03
http://www.thehindu.com/business/markets/rupee-builds-on-gains-up-18-paise-against-us-dollar/article8308630.ece,2016-03-03
http://www.thehindu.com/business/markets/foreign-exchanges-higher-holdings-to-benefit-bse-nse/article8305772.ece,2016-03-03
http://www.thehindu.com/business/markets/government-nod-for-uday-bonds/article8305503.ece,2016-03-03
